,Match_ID,TeamColor,killing_team,kills_sum,assist_sum
242,07f89ba08ad1f2b3,Blue,GV,4,22
243,07f89ba08ad1f2b3,Red,CLG,11,44
244,0877aa19eb0decf8,Blue,OG,27,90
245,0877aa19eb0decf8,Red,UOL,17,38
246,08834a307e2499fd,Blue,DP,6,6
247,08834a307e2499fd,Red,EDG,26,78
248,088793e961a98ba3,Blue,SKT,18,20
249,088793e961a98ba3,Red,MVP,6,10
250,08cace00c3aec3f2,Blue,AFs,8,18
251,08cace00c3aec3f2,Red,ROX,23,54
252,08e695ce409fc198,Blue,SSB,7,16
253,08e695ce409fc198,Red,kt,17,56
254,08e7331c24396957,Blue,HKE,10,36
255,08e7331c24396957,Red,ahq,25,64
256,08f3ce8ac9cbd0a0,Blue,APX,25,82
257,08f3ce8ac9cbd0a0,Red,TL,13,54
258,090fc77d706e30cc,Blue,kt,20,84
259,090fc77d706e30cc,Red,ANC,1,4
260,091c862c58b4fc5d,Blue,JAG,8,24
261,091c862c58b4fc5d,Red,ROX,11,28
262,091e9cf7f58de3b1,Blue,ROC,17,60
263,091e9cf7f58de3b1,Red,H2K,10,38
264,092fbdd0935158ba,Blue,KBM,6,20
265,092fbdd0935158ba,Red,PNG,13,36
266,0949493e4b1d2840,Blue,TSM,11,32
267,0949493e4b1d2840,Red,P1,21,72
268,095f04e06c7fe592,Blue,TDK,15,56
269,095f04e06c7fe592,Red,NME,16,46
270,0983b061a3de0700,Blue,C9,5,6
271,0983b061a3de0700,Red,SSB,29,82
272,09b4260bc296eb42,Blue,kt,10,22
273,09b4260bc296eb42,Red,AFs,8,22
274,09d9dc4c7b495ace,Blue,TSM,19,60
275,09d9dc4c7b495ace,Red,IMT,11,34
276,0a02726928445cdc,Blue,NJE,11,36
277,0a02726928445cdc,Red,JAG,6,22
278,0a0e8846b9dd4ef7,Blue,bbq,14,50
279,0a0e8846b9dd4ef7,Red,JAG,2,0
280,0a0ecdfbe1497be1,Blue,C9,15,44
281,0a0ecdfbe1497be1,Red,TL,3,12
282,0a16bac145768a03,Blue,CNB,11,52
283,0a16bac145768a03,Red,ITZ,8,34
284,0a182ab8213f37e4,Blue,FNC,6,16
285,0a182ab8213f37e4,Red,SPY,6,34
286,0a41b33180c32724,Blue,SSB,3,14
287,0a41b33180c32724,Red,SSW,28,54
288,0a5108ce4179f9da,Blue,ROC,5,10
289,0a5108ce4179f9da,Red,SPY,16,46
290,0a63abe984bfef2d,Blue,FW,22,58
291,0a63abe984bfef2d,Red,HKE,21,80
292,0a6dd1a22f416be4,Blue,LZ,12,48
293,0a6dd1a22f416be4,Red,SSG,16,62
294,0a832eea1bca60d1,Blue,TIP,18,44
295,0a8b4c4177376b12,Blue,ahq,25,64
296,0a8b4c4177376b12,Red,HKE,16,38
297,0aa7038786e19c70,Blue,HKE,9,20
298,0aa7038786e19c70,Red,XG,5,16
299,0ab93222dccf8784,Blue,MSE,15,72
300,0ab93222dccf8784,Red,TM,5,18
301,0abe526de3932809,Blue,GV,21,56
302,0abe526de3932809,Red,T8,4,10
303,0ac141320e5d0d1a,Blue,TSM,18,54
304,0ac141320e5d0d1a,Red,TIP,4,16
305,0aef51a0dbe55dd0,Blue,PNG,21,72
306,0aef51a0dbe55dd0,Red,KBM,12,46
307,0b096f92735d1c44,Blue,UOL,4,4
308,0b096f92735d1c44,Red,FNC,18,54
309,0b2f5db5a1e87c90,Blue,C9,13,32
310,0b2f5db5a1e87c90,Red,TL,25,94
311,0b4828b263b93d18,Blue,C9,16,48
312,0b4828b263b93d18,Red,IMT,4,8
313,0b4c26291a757a2d,Blue,ESC,15,48
314,0b4c26291a757a2d,Red,CJE,4,10
315,0b5a9e07d29c35e5,Blue,IMT,15,38
316,0b5a9e07d29c35e5,Red,FOX,12,16
317,0b8625c860215a9f,Blue,OG,16,58
318,0b8625c860215a9f,Red,ROC,12,44
319,0c01aad38de177d7,Blue,SSB,2,6
320,0c01aad38de177d7,Red,SKT,25,78
321,0c16aabec2ec129b,Blue,SSB,7,14
322,0c16aabec2ec129b,Red,C9,29,66
323,0c28ee7d01a09cc3,Blue,XG,2,6
324,0c28ee7d01a09cc3,Red,JT,12,44
325,0c4a30175b46ac73,Blue,kt,15,44
326,0c4a30175b46ac73,Red,ANC,20,72
327,0c602571c60cc7ae,Blue,CJE,13,56
328,0c602571c60cc7ae,Red,SKT,3,2
329,0c657fe1e7da84ea,Blue,SSG,3,4
330,0c657fe1e7da84ea,Red,kt,16,44
331,0c6d2faf595809fa,Blue,FNC,22,52
332,0c6d2faf595809fa,Blue,TooEarly,0,0
333,0c6d2faf595809fa,Red,GIA,9,30
334,0c747713dc79bc86,Blue,G2,23,42
335,0c747713dc79bc86,Red,SPY,8,20
336,0c8bb595be5bb54e,Blue,GIA,6,8
337,0c8bb595be5bb54e,Red,SPY,15,36
338,0c911a50844a8d37,Blue,ahq,31,96
339,0c911a50844a8d37,Red,HKE,9,32
340,0c93d2340007ebf9,Blue,JAG,5,6
341,0c93d2340007ebf9,Red,SSG,14,42
342,0c99f9a27d6a1a69,Blue,H2K,16,50
343,0c99f9a27d6a1a69,Red,GIA,7,14
344,0ca38e86e4a327d7,Blue,ITZ,17,20
345,0ca38e86e4a327d7,Red,OPK,11,22
346,0cd8238034aec606,Blue,SSG,6,10
347,0cd8238034aec606,Red,SKT,18,54
348,0ce321162a09233f,Blue,VIT,8,14
349,0ce321162a09233f,Red,ROC,8,10
350,0ce3cff3ee930c35,Blue,REN,18,66
351,0ce3cff3ee930c35,Red,TL,12,48
352,0cfc20106031d777,Blue,G2,11,40
353,0cfc20106031d777,Red,H2K,6,24
354,0d42f504c2492f8a,Blue,SPY,7,24
355,0d42f504c2492f8a,Red,G2,13,60
356,0d6435b31bfa3c40,Blue,CGE,3,6
357,0d6435b31bfa3c40,Red,M17,19,62
358,0d6831599620d2bd,Blue,TM,11,24
359,0d6831599620d2bd,Red,FW,24,76
360,0d69b8d1b636da2f,Blue,CLG,9,6
361,0d69b8d1b636da2f,Red,IMT,26,52
362,0d916de390dd3852,Blue,SSB,10,28
363,0d916de390dd3852,Red,EMF,4,16
364,0daca494b7eb4292,Blue,CW,3,4
365,0daca494b7eb4292,Red,H2K,14,44
366,0dd958084f9e0e67,Blue,ahq,3,10
367,0dd958084f9e0e67,Red,FW,14,26
368,0ddf22cf6af50bf3,Blue,bbq,17,46
369,0ddf22cf6af50bf3,Red,ROX,5,16
370,0dea3381dd8783f4,Blue,CJE,15,46
371,0dea3381dd8783f4,Red,SKT,8,16
372,0e0df6658e6017ca,Blue,ITZ,14,46
373,0e0df6658e6017ca,Red,CNB,3,12
374,0e14cb721685588d,Blue,SK,18,54
375,0e14cb721685588d,Red,GIA,19,84
376,0e3392f0f72f5f94,Blue,AHQ,28,76
377,0e3392f0f72f5f94,Red,BJK,15,16
378,0e477fff64377f93,Blue,JAG,25,72
379,0e477fff64377f93,Red,ROX,6,20
380,0e77fe9ce1eeb96b,Blue,CJE,16,54
381,0e77fe9ce1eeb96b,Red,ROX,28,90
382,0e79fba0d5505f56,Blue,SPY,25,104
383,0e79fba0d5505f56,Red,GIA,12,54
384,0e7bd049ef8baa67,Blue,HKE,4,12
385,0e7bd049ef8baa67,Red,FW,15,40
386,0e95d971fc903f68,Blue,IMT,8,34
387,0e95d971fc903f68,Red,TSM,18,62
388,0e97c8cd0de39e78,Blue,CLG,17,42
389,0e97c8cd0de39e78,Red,IMT,5,20
390,0eacfe6f8a4cfb3d,Blue,ROX,4,8
391,0eacfe6f8a4cfb3d,Red,kt,13,44
392,0eb3372f9377b0af,Blue,JT,13,42
393,0eb3372f9377b0af,Red,XG,1,2
394,0ed1cd0e0e57329c,Blue,TIP,10,30
395,0ed1cd0e0e57329c,Red,TL,21,80
396,0eda4e2407d59837,Blue,S04,16,66
397,0eda4e2407d59837,Red,UOL,4,6
398,0ee1b310e90f7f13,Blue,SPY,7,26
399,0ee1b310e90f7f13,Red,MSF,9,38
400,0ef19c7f488ab072,Blue,MSE,17,58
401,0ef19c7f488ab072,Red,TPA,3,8
402,0f15c2690aedae7a,Blue,G2,13,58
403,0f15c2690aedae7a,Red,MSF,6,16
404,0f23e9f0cf5aacf1,Blue,RED,1,0
405,0f23e9f0cf5aacf1,Red,CNB,9,34
406,0f43ac3d84784545,Blue,GIA,15,48
407,0f43ac3d84784545,Red,ROC,28,66
408,0f6e22ad6d63292f,Blue,kt,10,22
409,0f6e22ad6d63292f,Red,SKT,21,74
410,0f6f8fb33de0777e,Blue,FNC,17,56
411,0f6f8fb33de0777e,Red,H2K,8,24
412,0f743e2bda191d26,Blue,MSF,3,12
413,0f743e2bda191d26,Red,G2,9,34
414,0f7d5b795f80f910,Blue,CW,25,122
415,0f7d5b795f80f910,Red,MYM,18,58
416,0f8b6abeb8cb90c0,Blue,RNG,16,42
417,0f8b6abeb8cb90c0,Blue,TooEarly,0,0
418,0f8b6abeb8cb90c0,Red,SUP,6,12
419,0f8ed0b2b5009258,Blue,IMT,24,84
420,0f8ed0b2b5009258,Red,CLG,18,44
421,0f8ed0b2b5009258,Red,TooEarly,0,0
422,0f9b2226281d75bf,Blue,M17,8,10
423,0f9b2226281d75bf,Red,MSE,20,72
424,0fa2c4f29fca01c6,Blue,EL,15,60
425,0fa2c4f29fca01c6,Red,SK,17,70
426,0fbe14af53a12b95,Blue,GIA,14,32
427,0fbe14af53a12b95,Red,UOL,15,56
428,0fc6e4425e0da906,Blue,C9,6,16
429,0fc6e4425e0da906,Red,CST,4,10
430,0fca4b8527d8a3cb,Blue,M17,10,30
431,0fca4b8527d8a3cb,Red,MSE,19,58
432,0fceb9a2c8ccff23,Blue,JAG,40,84
433,0fceb9a2c8ccff23,Red,MVP,18,76
434,0ff43d0000d7eef4,Blue,KST,6,8
435,0ff43d0000d7eef4,Red,CNB,10,30
436,0fff3ee4c1bc24fb,Blue,TIP,9,14
437,0fff3ee4c1bc24fb,Red,TSM,20,78
438,100bddb1ebe0884a,Blue,bbq,16,34
439,100bddb1ebe0884a,Red,AFs,4,10
440,101816173ebc860f,Blue,APX,4,8
441,101816173ebc860f,Red,NV,11,46
442,101e59a94cf6f805,Blue,NRG,2,4
