,match_id,team_name,player,kills,deaths,assists,kda_ratio
245,0252d1b630f3bb39,TSM,Svenskeren,6,2,11,8.5
246,028b7ab92a345cf5,FNC,Febiven,4,2,5,4.5
247,028b7ab92a345cf5,FNC,Gamsu,1,0,7,8
248,028b7ab92a345cf5,FNC,Rekkles,7,0,6,13
249,028b7ab92a345cf5,FNC,Spirit,2,1,6,8
250,028b7ab92a345cf5,SPY,Mikyx,0,5,4,0.8
251,028b7ab92a345cf5,SPY,Trashy,0,2,2,1
252,028b7ab92a345cf5,SPY,Wunder,0,3,1,0.3333333333
253,02a02ea44b0b14c5,IMT,Huni,5,4,6,2.75
254,02a02ea44b0b14c5,IMT,Pobelter,4,2,8,6
255,02a02ea44b0b14c5,IMT,Reignover,2,2,13,7.5
256,02a02ea44b0b14c5,IMT,WildTurtle,7,1,6,13
257,02a02ea44b0b14c5,TL,Dardoch,4,5,7,2.2
258,02a02ea44b0b14c5,TL,Fenix,1,2,2,1.5
259,02a02ea44b0b14c5,TL,Lourlo,2,2,6,4
260,02a3e78ea1ea6e23,AFs,LirA,5,0,7,12
261,02a3e78ea1ea6e23,AFs,Mickey,3,0,7,10
262,02a3e78ea1ea6e23,AFs,Sangyoon,1,2,6,3.5
263,02a3e78ea1ea6e23,AFs,ikssu,3,1,9,12
264,02a3e78ea1ea6e23,MVP,ADD,0,4,3,0.75
265,02a3e78ea1ea6e23,MVP,Beyond,1,4,2,0.75
266,02a54b0f61a8af09,APX,Apollo,0,1,10,10
267,02a54b0f61a8af09,APX,Keane,4,2,7,5.5
268,02a54b0f61a8af09,APX,Ray,10,3,3,4.3333333333
269,02a54b0f61a8af09,APX,ShrimP,1,2,9,5
270,02a54b0f61a8af09,FOX,Big,1,1,7,8
271,02a54b0f61a8af09,FOX,Froggen,4,6,4,1.3333333333
272,02a54b0f61a8af09,FOX,Hard,1,3,2,1
273,02a54b0f61a8af09,FOX,Keith,2,1,2,4
274,02acb71d99b67bd7,G2,Expect,4,1,8,12
275,02acb71d99b67bd7,G2,Perkz,0,3,3,1
276,02acb71d99b67bd7,G2,Trick,6,0,4,10
277,02acb71d99b67bd7,G2,Zven,7,0,4,11
278,02acb71d99b67bd7,G2,mithy,2,1,8,10
279,02acb71d99b67bd7,UOL,Exileh,1,4,2,0.75
280,02acb71d99b67bd7,UOL,Move,0,1,1,1
281,02acb71d99b67bd7,UOL,Vizicsacsi,2,7,1,0.4285714286
282,02b9060a6ab61fc5,C9,Balls,2,3,13,5
283,02b9060a6ab61fc5,C9,Hai,3,3,8,3.6666666667
284,02b9060a6ab61fc5,C9,LemonNation,4,2,13,8.5
285,02b9060a6ab61fc5,C9,Sneaky,2,2,11,6.5
286,02b9060a6ab61fc5,NME,Bodydrop,1,5,4,1
287,02b9060a6ab61fc5,NME,Flaresz,2,7,4,0.8571428571
288,02b9060a6ab61fc5,NME,Innox,2,3,5,2.3333333333
289,02b9060a6ab61fc5,NME,Trashy,1,2,6,3.5
290,02bb50cd9654cf5d,CNB,Lep,3,2,2,2.5
291,02bb50cd9654cf5d,CNB,Minerva,1,2,7,4
292,02bb50cd9654cf5d,CNB,Tinowns,0,2,5,2.5
293,02bb50cd9654cf5d,ITZ,Turtle,0,1,5,5
294,02bb50cd9654cf5d,ITZ,ayel,5,2,1,3
295,02bb50cd9654cf5d,ITZ,micaO,0,1,4,4
296,02cc26d22aee2848,KDM,Crush,0,5,5,1
297,02cc26d22aee2848,KDM,GuGer,0,4,7,1.75
298,02cc26d22aee2848,KDM,Hipo,2,3,4,2
299,02cc26d22aee2848,KDM,SSol,4,5,1,1
300,02cc26d22aee2848,kt,Arrow,6,1,9,15
301,02cc26d22aee2848,kt,Fly,3,0,11,14
302,02cc26d22aee2848,kt,Score,4,2,7,5.5
303,02cc26d22aee2848,kt,Ssumday,5,2,11,8
304,02da363c63f11c8c,IMT,Huni,5,3,6,3.6666666667
305,02da363c63f11c8c,IMT,Pobelter,4,3,9,4.3333333333
306,02da363c63f11c8c,IMT,Reignover,3,0,8,11
307,02da363c63f11c8c,IMT,WildTurtle,8,4,6,3.5
308,02da363c63f11c8c,NRG,GBM,1,4,3,1
309,02da363c63f11c8c,NRG,KiWiKiD,0,6,7,1.1666666667
310,02da363c63f11c8c,NRG,Quas,2,5,2,0.8
311,02da363c63f11c8c,NRG,Santorin,3,2,7,5
312,02da363c63f11c8c,NRG,ohq,5,3,5,3.3333333333
313,02e4fa0156c319e6,KOO,Hojin,0,5,4,0.8
314,02e4fa0156c319e6,KOO,Kuro,3,2,3,3
315,02e4fa0156c319e6,KOO,PraY,0,5,6,1.2
316,02e4fa0156c319e6,KOO,Smeb,3,6,2,0.8333333333
317,02e4fa0156c319e6,NJF,Duke,5,0,14,19
318,02e4fa0156c319e6,NJF,Ggoong,8,2,5,6.5
319,02e4fa0156c319e6,NJF,Ohq,6,2,10,8
320,02e4fa0156c319e6,NJF,Pure,0,1,19,19
321,02e4fa0156c319e6,NJF,Watch,4,1,11,15
322,02fe6775b364438e,ITZ,Jockster,1,4,7,2
323,02fe6775b364438e,ITZ,Revolta,4,3,3,2.3333333333
324,02fe6775b364438e,ITZ,Yang,2,0,5,7
325,02fe6775b364438e,ITZ,tockers,2,1,5,7
326,02fe6775b364438e,OPK,Goku,2,3,5,2.3333333333
327,02fe6775b364438e,OPK,Professor,0,1,5,5
328,02fe6775b364438e,OPK,SkyBart,0,3,6,2
329,030bab19effe717c,SKT,Bang,9,0,5,14
330,030bab19effe717c,SKT,Bengi,3,1,8,11
331,030bab19effe717c,SKT,Duke,2,3,10,4
332,030bab19effe717c,SKT,Faker,1,3,10,3.6666666667
333,030bab19effe717c,SSG,Ambition,1,2,3,2
334,030bab19effe717c,SSG,CoreJJ,2,3,4,2
335,030bab19effe717c,SSG,Crown,3,3,3,2
336,030bab19effe717c,SSG,CuVee,2,4,2,1
337,0310e0364acebf89,AFs,Lindarang,3,4,9,3
338,0310e0364acebf89,AFs,Mickey,3,5,11,2.8
339,0310e0364acebf89,AFs,SeongHwan,5,3,7,4
340,0310e0364acebf89,ESC,Bless,3,2,11,7
341,0310e0364acebf89,ESC,Crazy,2,1,12,14
342,0310e0364acebf89,ESC,Tempt,9,2,10,9.5
343,032033cddc7b870b,CNB,Aoshi,2,1,8,10
344,032033cddc7b870b,CNB,Nappon,1,2,10,5.5
345,032033cddc7b870b,CNB,Vash,8,2,7,7.5
346,032033cddc7b870b,CNB,pbO,5,1,6,11
347,032033cddc7b870b,g3x,Snowlz,1,3,2,1
348,032033cddc7b870b,g3x,TaeYeon,3,4,2,1.25
349,032033cddc7b870b,g3x,Zantins,1,3,1,0.6666666667
350,032ec6732c142a08,AFs,Kramer,1,0,9,10
351,032ec6732c142a08,AFs,Kuro,2,0,4,6
352,032ec6732c142a08,AFs,Spirit,3,1,6,9
353,032ec6732c142a08,SSG,Ambition,1,3,3,1.3333333333
354,032ec6732c142a08,SSG,CuVee,0,3,1,0.3333333333
355,032ec6732c142a08,SSG,Ruler,1,2,3,2
356,03336bc5758a759d,GAM,Archie,0,4,11,2.75
357,03336bc5758a759d,GAM,Levi,3,0,4,7
358,03336bc5758a759d,GAM,Optimus,6,2,7,6.5
359,03336bc5758a759d,GAM,Stark,3,6,6,1.5
360,03336bc5758a759d,TSM,Bjergsen,3,1,8,11
361,03336bc5758a759d,TSM,Hauntzer,3,4,6,2.25
362,03336bc5758a759d,TSM,Svenskeren,1,4,11,3
363,035f73b1b70fb706,TSM,Bjergsen,10,6,7,2.8333333333
364,035f73b1b70fb706,TSM,Dyrus,2,2,10,6
365,035f73b1b70fb706,TSM,Lustboy,1,5,11,2.4
366,035f73b1b70fb706,TSM,Santorin,0,3,7,2.3333333333
367,035f73b1b70fb706,TSM,WildTurtle,7,4,6,3.25
368,035f73b1b70fb706,WFX,Altec,4,6,9,2.1666666667
369,035f73b1b70fb706,WFX,Avalon,5,2,8,6.5
370,035f73b1b70fb706,WFX,Helios,3,3,14,5.6666666667
371,035f73b1b70fb706,WFX,Paragon,3,4,14,4.25
372,035f73b1b70fb706,WFX,Pobelter,5,5,11,3.2
373,0364e2e542b777a4,DIG,CoreJJ,6,0,10,16
374,0364e2e542b777a4,DIG,Gamsu,5,3,11,5.3333333333
375,0364e2e542b777a4,DIG,Helios,1,1,8,9
376,0364e2e542b777a4,NME,Flaresz,1,5,4,1
377,0364e2e542b777a4,NME,Innox,1,3,3,1.3333333333
378,036c385c6932f9df,TM,Benny,1,6,5,1
379,036c385c6932f9df,TM,Rins,1,2,4,2.5
380,036c385c6932f9df,ahq,AN,6,0,8,14
381,036c385c6932f9df,ahq,Albis,0,1,12,12
382,036c385c6932f9df,ahq,Mountain,5,2,7,6
383,036c385c6932f9df,ahq,Westdoor,4,1,9,13
384,036c385c6932f9df,ahq,Ziv,2,2,7,4.5
385,036e6cef9568efd8,CJE,Bdd,8,1,12,20
386,036e6cef9568efd8,CJE,Haru,5,2,13,9
387,036e6cef9568efd8,CJE,Kramer,4,1,12,16
388,036e6cef9568efd8,CJE,Shy,3,3,7,3.3333333333
389,036e6cef9568efd8,SKT,Bang,2,5,3,1
390,036e6cef9568efd8,SKT,Bengi,2,5,4,1.2
391,036e6cef9568efd8,SKT,Duke,3,4,5,2
392,036e6cef9568efd8,SKT,Faker,2,3,4,2
393,037bf9c7473334ac,TIP,Impact,3,4,4,1.75
