,match_id,red_or_blue_side,team_name,kills,deaths,assists,kda_ratio
189,06368b209802df9f,Blue,TL,23.0,8.0,63.0,10.75
190,06368b209802df9f,Red,C9,8.0,23.0,16.0,1.0434782608695652
191,063f88396ebefd89,Blue,H2K,13.0,29.0,26.0,1.3448275862068966
192,063f88396ebefd89,Red,CW,29.0,13.0,57.0,6.615384615384615
193,064626c82d297ff8,Blue,XG,3.0,17.0,5.0,0.47058823529411764
194,064626c82d297ff8,Red,JT,17.0,3.0,42.0,19.666666666666668
195,065c380f65fa59d2,Blue,SKT,10.0,6.0,35.0,7.5
196,065c380f65fa59d2,Red,FW,6.0,10.0,11.0,1.7
197,068ca292c82f4758,Blue,IMT,20.0,4.0,47.0,16.75
198,068ca292c82f4758,Red,CLG,4.0,20.0,9.0,0.65
199,06b32933bc151a38,Blue,TM,7.0,13.0,20.0,2.076923076923077
200,06b32933bc151a38,Red,XG,13.0,7.0,42.0,7.857142857142857
201,06b4c4cd5e4b5f33,Blue,JAG,6.0,1.0,15.0,21.0
202,06b4c4cd5e4b5f33,Red,NJE,1.0,6.0,1.0,0.3333333333333333
203,06bb5d69b6d46051,Blue,ROX,20.0,4.0,46.0,16.5
204,06bb5d69b6d46051,Red,CJE,4.0,20.0,8.0,0.6
205,06c1db9af13bdc0a,Blue,OG,6.0,21.0,14.0,0.9523809523809523
206,06c1db9af13bdc0a,Red,UOL,21.0,6.0,57.0,13.0
207,06db1353b32f6f1f,Blue,BKT,4.0,21.0,14.0,0.8571428571428571
208,06db1353b32f6f1f,Red,H2K,21.0,4.0,56.0,19.25
209,06f228fd93d5add5,Blue,H2K,11.0,1.0,32.0,43.0
210,06f228fd93d5add5,Red,FNC,1.0,11.0,4.0,0.45454545454545453
211,06f7ed66c4a2ebfd,Blue,CJE,13.0,18.0,32.0,2.5
212,06f7ed66c4a2ebfd,Red,ROX,18.0,13.0,39.0,4.384615384615385
213,0703355279ad76bd,Blue,VIT,11.0,13.0,33.0,3.3846153846153846
214,0703355279ad76bd,Red,OG,13.0,11.0,22.0,3.1818181818181817
215,0716f9e3d5c1c5fe,Blue,ROC,6.0,15.0,10.0,1.0666666666666667
216,0716f9e3d5c1c5fe,Red,H2K,15.0,6.0,40.0,9.166666666666666
217,0719d075fd39f3dc,Blue,MSE,26.0,41.0,61.0,2.1219512195121952
218,0719d075fd39f3dc,Red,LOG,41.0,26.0,101.0,5.461538461538462
219,072c2b0bc489d7e3,Blue,SPY,10.0,6.0,23.0,5.5
220,072c2b0bc489d7e3,Red,VIT,6.0,10.0,14.0,2.0
221,0732428e8e182fc4,Blue,P1,10.0,5.0,24.0,6.8
222,0732428e8e182fc4,Red,NRG,5.0,10.0,12.0,1.7
223,073bec0dc2b00865,Blue,kt,13.0,9.0,33.0,5.111111111111111
224,073bec0dc2b00865,Red,AFs,9.0,13.0,23.0,2.4615384615384617
225,074aad5bf8271db7,Blue,UOL,18.0,23.0,39.0,2.4782608695652173
226,074aad5bf8271db7,Red,MYM,23.0,18.0,53.0,4.222222222222222
227,076cf8f090de1f98,Blue,REN,14.0,10.0,29.0,4.3
228,076cf8f090de1f98,Red,C9,10.0,14.0,26.0,2.5714285714285716
229,078b0ea503a36fee,Blue,OG,8.0,17.0,13.0,1.2352941176470589
230,078b0ea503a36fee,Red,G2,17.0,8.0,37.0,6.75
231,07a2d5c57b595301,Blue,CW,4.0,22.0,6.0,0.45454545454545453
232,07a2d5c57b595301,Red,FNC,22.0,4.0,45.0,16.75
233,07acc2f179e16e5a,Blue,CLG,14.0,8.0,36.0,6.25
234,07acc2f179e16e5a,Red,FLY,8.0,14.0,26.0,2.4285714285714284
235,07bfc90bea44abdf,Blue,SSG,24.0,14.0,53.0,5.5
236,07bfc90bea44abdf,Red,SPY,14.0,24.0,21.0,1.4583333333333333
237,07dd7f478849248b,Blue,IMT,10.0,25.0,17.0,1.08
238,07dd7f478849248b,Red,C9,25.0,10.0,45.0,7.0
239,07f89ba08ad1f2b3,Blue,GV,4.0,11.0,15.0,1.7272727272727273
240,07f89ba08ad1f2b3,Red,CLG,11.0,4.0,33.0,11.0
241,0877aa19eb0decf8,Blue,OG,27.0,17.0,72.0,5.823529411764706
242,0877aa19eb0decf8,Red,UOL,17.0,27.0,35.0,1.9259259259259258
243,08834a307e2499fd,Blue,DP,6.0,26.0,7.0,0.5
244,08834a307e2499fd,Red,EDG,26.0,6.0,65.0,15.166666666666666
